N° Client;Raison social;Civilité;Responsable;Rue;CP;Ville;CA 2014;Représentant;Tel;date du dernier achat;Type de client;Date de relance commerciale;Nombre de jour(s) de retard;Réduction 1;Réduction 2
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;13 622 €;GOUTAL;01-42-16-16-83;21/11/15;;19/02/16;;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;32 307 €;BOILOT;01-45-21-28-46;04/08/15;Très bon client;02/11/15;7;5,00%;10,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;15 834 €;GOUTAL;01-49-36-73-57;02/01/15;;02/04/15;221;;
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;4 896 €;BOILOT;01-44-49-52-54;25/12/14;;25/03/15;229;;
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;26 543 €;GOUTAL;03-81-21-93-12;05/01/15;Bon client;05/05/15;188;3,00%;3,00%
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;31 332 €;BOILOT;03-88-11-60-03;21/11/15;Très bon client;19/02/16;;5,00%;10,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;38 703 €;FRANGIN;01-49-09-58-14;03/11/15;Très bon client;01/02/16;;5,00%;10,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;17 473 €;PILLON;01-42-34-80-52;30/08/15;;28/11/15;;;
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;10 539 €;PILLON;03-83-15-43-24;10/12/14;;10/03/15;244;;
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;30 710 €;FRANGIN;03-20-44-41-65;06/10/15;Très bon client;04/01/16;;5,00%;10,00%
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;13 255 €;FRANGIN;02-41-35-52-15;08/04/15;;07/07/15;125;;
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;39 420 €;PILLON;09-64-08-19-44;07/08/15;Très bon client;05/11/15;4;5,00%;10,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;8 685 €;FRANGIN;01-39-27-42-58;20/01/15;;20/04/15;203;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;9 431 €;GOUTAL;02-32-88-84-46;29/09/15;;28/12/15;;;
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;11 988 €;BOILOT;01-49-81-22-61;20/10/15;;18/01/16;;;
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;22 965 €;BOILOT;03-22-66-85-43;12/06/15;Bon client;10/10/15;30;3,00%;3,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;37 576 €;PILLON;01-46-33-68-67;19/10/15;Très bon client;17/01/16;;5,00%;10,00%
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;35 533 €;PILLON;03-80-66-62-09;18/03/15;Très bon client;16/06/15;146;5,00%;5,00%
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;24 081 €;BOILOT;01-49-28-20-25;05/06/15;Bon client;03/10/15;37;3,00%;3,00%
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;18 296 €;FRANGIN;02-47-47-82-21;14/05/15;;12/08/15;89;;
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;26 145 €;PILLON;01-42-38-92-88;13/03/15;Bon client;11/07/15;121;3,00%;3,00%
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;15 627 €;GOUTAL;01-42-16-16-83;12/09/15;;11/12/15;;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;41 608 €;BOILOT;01-45-21-28-46;12/10/15;Très bon client;10/01/16;;5,00%;10,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;11 151 €;GOUTAL;01-49-36-73-57;17/04/15;;16/07/15;116;;
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;20 385 €;BOILOT;01-44-49-52-54;02/12/14;Bon client;01/04/15;222;3,00%;3,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;13 661 €;GOUTAL;03-81-21-93-12;17/09/15;;16/12/15;;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;5 535 €;BOILOT;03-88-11-60-03;02/04/15;;01/07/15;131;;
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;30 834 €;FRANGIN;01-49-09-58-14;17/02/15;Très bon client;18/05/15;175;5,00%;5,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;29 819 €;PILLON;01-42-34-80-52;03/03/15;Bon client;01/07/15;131;3,00%;3,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;10 273 €;PILLON;03-83-15-43-24;16/01/15;;16/04/15;207;;
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;4 929 €;FRANGIN;03-20-44-41-65;26/02/15;;27/05/15;166;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;24 104 €;FRANGIN;02-41-35-52-15;09/09/15;Bon client;07/01/16;;3,00%;6,00%
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;28 459 €;PILLON;09-64-08-19-44;04/12/14;Bon client;03/04/15;220;3,00%;3,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;13 568 €;FRANGIN;01-39-27-42-58;07/06/15;;05/09/15;65;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;12 289 €;GOUTAL;02-32-88-84-46;06/05/15;;04/08/15;97;;
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;22 295 €;BOILOT;01-49-81-22-61;17/11/15;Bon client;16/03/16;;3,00%;6,00%
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;31 746 €;BOILOT;03-22-66-85-43;06/12/14;Très bon client;06/03/15;248;5,00%;5,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;8 173 €;PILLON;01-46-33-68-67;29/09/15;;28/12/15;;;
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;18 932 €;PILLON;03-80-66-62-09;13/05/15;;11/08/15;90;;
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;29 063 €;BOILOT;01-49-28-20-25;18/05/15;Bon client;15/09/15;55;3,00%;3,00%
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;40 917 €;FRANGIN;02-47-47-82-21;04/06/15;Très bon client;02/09/15;68;5,00%;5,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;40 380 €;PILLON;01-42-38-92-88;18/06/15;Très bon client;16/09/15;54;5,00%;5,00%
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;4 962 €;GOUTAL;01-42-16-16-83;17/12/14;;17/03/15;237;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;37 672 €;BOILOT;01-45-21-28-46;26/01/15;Très bon client;26/04/15;197;5,00%;5,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;38 916 €;GOUTAL;01-49-36-73-57;06/02/15;Très bon client;07/05/15;186;5,00%;5,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;33 225 €;BOILOT;01-44-49-52-54;24/01/15;Très bon client;24/04/15;199;5,00%;5,00%
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;33 032 €;PILLON;03-80-66-62-09;10/12/14;Très bon client;10/03/15;244;5,00%;5,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;14 683 €;GOUTAL;03-81-21-93-12;14/01/15;;14/04/15;209;;
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;28 430 €;PILLON;03-83-15-43-24;27/02/15;Bon client;27/06/15;135;3,00%;3,00%
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;27 010 €;BOILOT;03-88-11-60-03;22/09/15;Bon client;20/01/16;;3,00%;6,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;33 944 €;PILLON;01-42-34-80-52;21/04/15;Très bon client;20/07/15;112;5,00%;5,00%
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;9 528 €;GOUTAL;01-49-36-73-57;24/12/14;;24/03/15;230;;
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;28 976 €;FRANGIN;01-39-27-42-58;09/03/15;Bon client;07/07/15;125;3,00%;3,00%
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;39 596 €;BOILOT;01-44-49-52-54;16/01/15;Très bon client;16/04/15;207;5,00%;5,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;36 693 €;PILLON;01-46-33-68-67;11/07/15;Très bon client;09/10/15;31;5,00%;5,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;8 408 €;PILLON;01-42-38-92-88;10/06/15;;08/09/15;62;;
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;9 212 €;BOILOT;01-49-28-20-25;29/08/15;;27/11/15;;;
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;18 947 €;GOUTAL;01-42-16-16-83;29/04/15;;28/07/15;104;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;37 818 €;BOILOT;01-45-21-28-46;15/01/15;Très bon client;15/04/15;208;5,00%;5,00%
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;23 700 €;FRANGIN;01-49-09-58-14;23/08/15;Bon client;21/12/15;;3,00%;6,00%
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;6 009 €;BOILOT;01-49-81-22-61;18/08/15;;16/11/15;;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;15 303 €;GOUTAL;02-32-88-84-46;22/08/15;;20/11/15;;;
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;12 424 €;BOILOT;03-22-66-85-43;09/12/14;;09/03/15;245;;
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;27 995 €;PILLON;09-64-08-19-44;17/04/15;Bon client;15/08/15;86;3,00%;3,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;3 519 €;FRANGIN;03-20-44-41-65;07/10/15;;05/01/16;;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;20 675 €;FRANGIN;02-47-47-82-21;18/05/15;Bon client;15/09/15;55;3,00%;3,00%
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;35 244 €;FRANGIN;02-41-35-52-15;12/09/15;Très bon client;11/12/15;;5,00%;10,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;8 840 €;GOUTAL;03-81-21-93-12;06/05/15;;04/08/15;97;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;8 136 €;BOILOT;03-88-11-60-03;09/03/15;;07/06/15;155;;
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;31 726 €;FRANGIN;01-49-09-58-14;15/09/15;Très bon client;14/12/15;;5,00%;10,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;40 040 €;PILLON;01-42-34-80-52;03/08/15;Très bon client;01/11/15;8;5,00%;10,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;34 985 €;PILLON;03-83-15-43-24;05/05/15;Très bon client;03/08/15;98;5,00%;5,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;39 890 €;FRANGIN;03-20-44-41-65;24/08/15;Très bon client;22/11/15;;5,00%;10,00%
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;9 224 €;FRANGIN;02-41-35-52-15;15/03/15;;13/06/15;149;;
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;38 199 €;PILLON;09-64-08-19-44;20/05/15;Très bon client;18/08/15;83;5,00%;5,00%
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;11 311 €;FRANGIN;01-39-27-42-58;17/07/15;;15/10/15;25;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;5 280 €;GOUTAL;02-32-88-84-46;24/10/15;;22/01/16;;;
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;42 371 €;BOILOT;01-49-81-22-61;15/07/15;Très bon client;13/10/15;27;5,00%;10,00%
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;25 717 €;BOILOT;03-22-66-85-43;04/06/15;Bon client;02/10/15;38;3,00%;3,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;31 959 €;PILLON;01-46-33-68-67;02/11/15;Très bon client;31/01/16;;5,00%;10,00%
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;7 195 €;PILLON;03-80-66-62-09;23/08/15;;21/11/15;;;
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;8 135 €;BOILOT;01-49-28-20-25;12/02/15;;13/05/15;180;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;31 671 €;FRANGIN;02-47-47-82-21;19/12/14;Très bon client;19/03/15;235;5,00%;5,00%
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;14 194 €;PILLON;01-42-38-92-88;01/08/15;;30/10/15;10;;
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;6 386 €;GOUTAL;01-42-16-16-83;12/01/15;;12/04/15;211;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;8 420 €;BOILOT;01-45-21-28-46;18/08/15;;16/11/15;;;
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;8 626 €;GOUTAL;01-49-36-73-57;05/04/15;;04/07/15;128;;
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;32 136 €;BOILOT;01-44-49-52-54;03/03/15;Très bon client;01/06/15;161;5,00%;5,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;17 924 €;GOUTAL;03-81-21-93-12;10/10/15;;08/01/16;;;
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;10 557 €;BOILOT;03-88-11-60-03;05/08/15;;03/11/15;6;;
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;13 875 €;FRANGIN;01-49-09-58-14;25/10/15;;23/01/16;;;
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;40 818 €;PILLON;01-42-34-80-52;07/02/15;Très bon client;08/05/15;185;5,00%;5,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;36 104 €;PILLON;03-83-15-43-24;16/04/15;Très bon client;15/07/15;117;5,00%;5,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;17 315 €;FRANGIN;03-20-44-41-65;26/07/15;;24/10/15;16;;
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;38 894 €;FRANGIN;02-41-35-52-15;14/03/15;Très bon client;12/06/15;150;5,00%;5,00%
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;14 388 €;PILLON;09-64-08-19-44;25/10/15;;23/01/16;;;
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;40 964 €;FRANGIN;01-39-27-42-58;19/07/15;Très bon client;17/10/15;23;5,00%;10,00%
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;6 754 €;GOUTAL;02-32-88-84-46;12/03/15;;10/06/15;152;;
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;7 686 €;BOILOT;01-49-81-22-61;08/08/15;;06/11/15;3;;
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;31 175 €;BOILOT;03-22-66-85-43;25/10/15;Très bon client;23/01/16;;5,00%;10,00%
411009;ERIER SARL;Madame;Pongier Camille;4 rue de Narvik;13000;MARSEILLE;3 046 €;PILLON;01-46-33-68-67;02/05/15;;31/07/15;101;;
411001;HABBE SA;Monsieur;Habbe Luc;4 rue des Hirondelles;13000;MARSEILLE;20 110 €;PILLON;03-80-66-62-09;11/05/15;Bon client;08/09/15;62;3,00%;3,00%
411011;;Monsieur;Zebrige Jean;4 rue JP Sartre;38000;GRENOBLE;9 522 €;BOILOT;01-49-28-20-25;13/04/15;;12/07/15;120;;
411020;TOFAL SA;Monsieur;Somière Jean;45 route de la Grève;69000;LYON;9 232 €;FRANGIN;02-47-47-82-21;02/12/14;;02/03/15;252;;
411010;;Monsieur;Daou Louis;5 rue des Verts près;13000;MARSEILLE;11 176 €;PILLON;01-42-38-92-88;24/10/15;;22/01/16;;;
411012;SFMP SA;Monsieur;Rissout Luc;5 rue V. Hugo;26000;VALENCE;7 789 €;GOUTAL;01-42-16-16-83;10/06/15;;08/09/15;62;;
411013;;Monsieur;Cevrat Louis;75 rue des eaux;38000;GRENOBLE;10 918 €;BOILOT;01-45-21-28-46;07/08/15;;05/11/15;4;;
411006;;Monsieur;Prodon Fidel;Chemin des aluèges;26000;VALENCE;12 934 €;GOUTAL;01-49-36-73-57;12/08/15;;10/11/15;;;
411008;GAROD SA;Monsieur;Garod Jean;Place des Célestins;38000;GRENOBLE;24 846 €;BOILOT;01-44-49-52-54;08/02/15;Bon client;08/06/15;154;3,00%;3,00%
411002;AERTUS SARL;Madame;Pincherl Luce;1 chemin des croisés;26000;VALENCE;41 278 €;GOUTAL;03-81-21-93-12;14/05/15;Très bon client;12/08/15;89;5,00%;5,00%
411004;;Madame;Boyou Nelly;14  place Lafayette;38000;GRENOBLE;7 804 €;BOILOT;03-88-11-60-03;16/10/15;;14/01/16;;;
411014;SNR SA;Monsieur;Verier Louis;15 rue Royale;69000;LYON;31 749 €;FRANGIN;01-49-09-58-14;25/05/15;Très bon client;23/08/15;78;5,00%;5,00%
411005;FFV;Madame;Saano Lucie;2 rue A. Camus;13000;MARSEILLE;23 719 €;PILLON;01-42-34-80-52;10/01/15;Bon client;10/05/15;183;3,00%;3,00%
411003;RIPERT SA;Monsieur;Ribert Pierre;2 rue du Maine;13000;MARSEILLE;33 622 €;PILLON;03-83-15-43-24;04/07/15;Très bon client;02/10/15;38;5,00%;5,00%
411019;SALOMON SARL;Madame;Verchet Luce;3 place Tochon;69000;LYON;30 829 €;FRANGIN;03-20-44-41-65;16/06/15;Très bon client;14/09/15;56;5,00%;5,00%
411021;BLE D'OR;Madame;Standoz Régine;34 les Verdots;69000;LYON;10 606 €;FRANGIN;02-41-35-52-15;17/10/15;;15/01/16;;;
411018;;Madame;Perrin Sara;34 rue C. Perles;13000;MARSEILLE;13 344 €;PILLON;09-64-08-19-44;17/11/15;;15/02/16;;;
411007;C4I SA;Monsieur;Odin Paul;34 rue du Commerce;69000;LYON;12 503 €;FRANGIN;01-39-27-42-58;15/01/15;;15/04/15;208;;
411016;DALOCHE SA;Monsieur;Daloche Jean;34 rue St Marc;26000;VALENCE;4 966 €;GOUTAL;02-32-88-84-46;10/02/15;;11/05/15;182;;
411015;MAGA SA;Monsieur;Maga Paul;345 place du Roi;38000;GRENOBLE;29 538 €;BOILOT;01-49-81-22-61;03/06/15;Bon client;01/10/15;39;3,00%;3,00%
411017;VERDOT SA;Madame;Verdot Louise;4 Rue Boileau;38000;GRENOBLE;42 480 €;BOILOT;03-22-66-85-43;11/01/15;Très bon client;11/04/15;212;5,00%;5,00%
